Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x4653c73a21a18b201ae92f1cd1d407e87d040500c2f41f98924320b6314b840, ACCEPTED_ON_L2, 1891498
0x636396ad923b5db8cdc1edb69f4bb9740f6836dec6e00fc1135925971f87bfb, ACCEPTED_ON_L2, 1891498
0x554aa3b77dc1fef9e7a20caf06b17908f90d35a8b524bbd26ad957c601f03ae, ACCEPTED_ON_L2, 1891498
0x43c0d69910f90bc1a71147a69dbd3d429a0388ce03268df4e4603cf172c654a, ACCEPTED_ON_L2, 1891499
0xf87cc4a2b852c5bd8912d9def84ebb957042439ad7668d72b04ea8a4c57997, ACCEPTED_ON_L2, 1891499
0x7a6a23d791ba90af91d3631666b7cfb8242432301f4b91854e1ec757a89048e, ACCEPTED_ON_L2, 1891499
0x709a9e78658ffcc9c3d8ca1347b15e4edab112738233bbb2d8d5d9d46726f89, ACCEPTED_ON_L2, 1891499
0x77cd7775334f415ec63629d7220b9049d7d6b3ffa01405b8efdbab1d51581b9, ACCEPTED_ON_L2, 1891499
0x302a13603e9cbedd6080e361fc68724ce3f4eb9bf65667b781e8d31e5c16f9a, ACCEPTED_ON_L2, 1891500
0x5b1ac9219599ddb8cbd85b20dabc4d592f6d1256ad14549fdd0e6d4538c1459, ACCEPTED_ON_L2, 1891500
0x19410ab0bb73fe08942d9b56fbf2e8179d8f6fe1bd8ca9984167b429a034a3a, ACCEPTED_ON_L2, 1891500
0x6f9770cf4e2325d1e385b133941900e25cbc75681bc80c21cb7a547793df3ee, ACCEPTED_ON_L2, 1891500
0x6190f8318b4789585afbf7008dc6e43c6091a72d46efdedecbc9f48593ae18b, ACCEPTED_ON_L2, 1891500
0x29f0c06af0358176632099ec64ae6dd950ef76f112f39fbfe39996ede3fc303, ACCEPTED_ON_L2, 1891501
0x4ff28b6dc4be8b85014141efeb213b5f96c7b461f8ddbafabcee96a0b3d364c, ACCEPTED_ON_L2, 1891501
0x7ee80a54f05a3a2ffdc7f9722e822e9f20fb75887cc8f5404826649f8a7c649, ACCEPTED_ON_L2, 1891501
0x1b42e1a65ec6091b2909dcf573530c02490be83b469a2824043a97cae67ed4c, ACCEPTED_ON_L2, 1891501
0x6996e19e43f2f67a2ec6dcd8cc1039e26120ce5c259f89b65407230e3caed8c, ACCEPTED_ON_L2, 1891501
0x3728914bd78ae20075073f6b4801c28a080db0e604d45e66179474365accfbd, ACCEPTED_ON_L2, 1891502
0x485a8ff9561f43df8692599339e85992d7ed6b9bfd6df79192804f4c7fc4aed, ACCEPTED_ON_L2, 1891502
0x7a0f232643c6a92c5b5f68af783c8e25f876eee6e67ed88560e8d24d625cb26, ACCEPTED_ON_L2, 1891502
0x7094cf5f2322d8b7b6a320c851c289b062a1edc662699fedbf5f7125311c887, ACCEPTED_ON_L2, 1891502
0x2b3ccb3d8394bd13d88dc58425584d8026b78de7093f1f9f6a97a40305d4233, ACCEPTED_ON_L2, 1891502
0x39dc41f6cc0545575116db69e63190d46622ae79c3de3059123d69ba7763df7, ACCEPTED_ON_L2, 1891503
0x4fe3490e3407536a130a6dee42699202a52c3e994c32516652c7f9137b77da3, ACCEPTED_ON_L2, 1891503
0x72d5b9692d7d7dc9a210ee51e79e291e6ff6b1559312d8fe344fe9e7f979447, ACCEPTED_ON_L2, 1891503
0x2ba5447764f53fba203ea7d390dd39d52026c7c6c2bb5f5dc426409aa6911d0, ACCEPTED_ON_L2, 1891504
0x2bfd8d3d27dc7727c60df1b4913590d6ac4c40dfd81d05f4bd679caef421050, ACCEPTED_ON_L2, 1891504
0x6b0e8b59ef2b3912bec27c6ce4fea895111ca1cadfc16de66927201b44d8961, ACCEPTED_ON_L2, 1891505
0x37d9f78ea49d7c723c7a41b121596e8769fc6a957b2d4d29a1f40898b4fdc49, ACCEPTED_ON_L2, 1891505
0x4e4b5770dae65f505ee24c07b26dab5572f8c85b87a3c1355ad94d24973dda1, ACCEPTED_ON_L2, 1891505
0x54fad2da6d5647e4c7b642199277d2761d80f25c5516ba2e481dd04a99e87be, ACCEPTED_ON_L2, 1891505
0x150fb3a72d9217ab59a1d697752e4db793d52715db865ebe216b717555bfa95, ACCEPTED_ON_L2, 1891505
0x4b2b0dc8258906266bcd2e24453bbfa60dc3fe8d5cdacb0ca52944c7c40e39b, ACCEPTED_ON_L2, 1891506
0x78d6442b38f4ae7182604ee33c8f3cdd4554488057cd0f38a06038c8cf8526b, ACCEPTED_ON_L2, 1891506
0x4ffa864e4e328d1525fc51c92068c97fc7922ff1f598524de7d92a9429f8333, ACCEPTED_ON_L2, 1891506
0x2a05b92d65e8f4399808d44ddd3fe3d1bba3b59090d4f95cbc851cbd5ceb64b, ACCEPTED_ON_L2, 1891506
0x6dd5d9a3d0259251687eb7fedebdb264a9d4e30dfef7720706e2e9aa2e4dfc, ACCEPTED_ON_L2, 1891506
0x47f1adaf10ace3944d543b598c743fc5936dcb5e81272469101a5a5704f765, ACCEPTED_ON_L2, 1891507
0x3179df2a9c9eeb67d4958385d803fa7b92548cc983fd804702addfc8c93ca74, ACCEPTED_ON_L2, 1891507
0xab34482824e5dc8f8cf1841090a39ea09e454ea39055e0d4e2d9e157e6bbcc, ACCEPTED_ON_L2, 1891507
0x2fc614c3217a8aa98d1566889710d4197020ab8393d0fab90726a6076a2c7ab, ACCEPTED_ON_L2, 1891507
0xdfa2206704226c404c6168baf95f02cdf61bf6d2fe88d87d5fb0433342511e, ACCEPTED_ON_L2, 1891507
0x6e91af28fbc8319e7508bf3bb45644ffb4703b45987a8759d8ec5070d9af10c, ACCEPTED_ON_L2, 1891508
